image_id,image_url,box_id,x,y,w,h,gt_sku_id,gt_name,gt_brand,gt_flavour,gt_size,gt_pack,gt_container,gt_has_sku
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b000,491,945,247,262,,__note__: deep reader! include the word LIGHTHOUSE in your email,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b001,349,975,197,230,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b002,546,975,2028,230,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b003,2162,1027,343,201,sku_0162,CDM 120G CARAMEL FFSRP 16CA,Cadbury Dairy Milk,Caramel,120 g,1,Bag,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b004,628,1073,358,141,sku_0261,MKA 90G TBL ALPINE MILK 25CA,Milka,Alpine Milk,90 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b005,1130,1090,314,130,sku_0181,CDM Oreo 120g,Cadbury Dairy Milk,Oreo,120 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b006,1820,1090,344,135,sku_0137,CADBURY DAIRY MILK DAIM 120G,Cadbury Dairy Milk,"Milk chocolate, Caramel, Almond",120 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b007,1443,1095,361,129,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b008,160,1217,255,237,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b009,0,1281,169,330,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b010,1679,1318,373,169,sku_0158,Cadbury Dairy Milk Wholenut 180g,Cadbury Dairy Milk,Wholenut,180 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b011,1302,1325,373,165,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b012,2050,1329,382,156,sku_0143,Cadbury Dairy Milk Fruit & Nut 180g,Cadbury Dairy Milk,Fruit & Nut,180 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b013,629,1358,326,160,sku_0182,CDM Wholenut 120g,Cadbury Dairy Milk,Wholenut,120 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b014,961,1358,311,144,sku_0161,CDM 110G 21CA,Cadbury Dairy Milk,Milk chocolate,110 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b015,177,1443,237,122,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b016,2040,1480,379,159,sku_0143,Cadbury Dairy Milk Fruit & Nut 180g,Cadbury Dairy Milk,Fruit & Nut,180 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b017,1672,1483,367,151,sku_0158,Cadbury Dairy Milk Wholenut 180g,Cadbury Dairy Milk,Wholenut,180 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b018,410,1485,231,135,sku_0166,CDM Biscoff Small Block 105g,Cadbury Dairy Milk,"Milk chocolate, Caramel",105 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b019,1298,1489,368,144,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b020,959,1499,320,132,sku_0161,CDM 110G 21CA,Cadbury Dairy Milk,Milk chocolate,110 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b021,639,1513,319,113,sku_0182,CDM Wholenut 120g,Cadbury Dairy Milk,Wholenut,120 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b022,183,1554,239,114,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b023,187,1656,225,100,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b024,1212,1706,356,172,sku_0150,Cadbury Dairy Milk Marvellous Creations Popping Candy 160g,Cadbury Dairy Milk,"Milk chocolate, Fruit",160 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b025,808,1713,357,151,sku_0168,CDM Caramel 180g,Cadbury Dairy Milk,Caramel,180 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b026,1592,1716,390,154,sku_0096,Crunchie Bits 180g,Cadbury,Milk chocolate,180 g,1,Bag,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b027,188,1740,240,118,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b028,429,1750,375,130,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b029,2633,1760,199,263,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b030,0,1785,182,217,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b031,197,1840,223,132,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b032,1954,1844,347,164,sku_0045,Cadbury Caramilk 160g,Cadbury,Golden caramel chocolate,160 g,1,Bag,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b033,1592,1863,363,146,sku_0096,Crunchie Bits 180g,Cadbury,Milk chocolate,180 g,1,Bag,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b034,824,1864,356,142,sku_0168,CDM Caramel 180g,Cadbury Dairy Milk,Caramel,180 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b035,1213,1870,355,150,sku_0150,Cadbury Dairy Milk Marvellous Creations Popping Candy 160g,Cadbury Dairy Milk,"Milk chocolate, Fruit",160 g,1,Bar,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b036,437,1878,382,138,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b037,186,1929,149,139,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b038,162,2034,178,123,,,,,,,,False
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b039,1104,2081,284,181,sku_0165,CDM 4 Pack 134g,Cadbury Dairy Milk,Milk chocolate,134 g,1,Bag,True
img_090,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/images/img_090.jpg,img_090_b040,1833,2083,302,189,sku_0120,Wispa Gold 4 Pack 153.2g,Cadbury,"Milk chocolate, Golden caramel",153.2 g,1,Bag,True
