sku_id,name,barcode,brand,flavour,size,containerType,packagingSize,height,width,depth,thumbnail_url,status
sku_0001,Barny Chocolate Sponge Bears 125g,7622201416140,Barny,Chocolate,125 g,Box,1,,,,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/thumbs/sku_0001.jpg,ONBOARDED
sku_0002,Barny Milk Sponge Bears 125g,7622201416119,Barny,Milk,125 g,Box,1,,,,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/thumbs/sku_0002.jpg,ONBOARDED
sku_0003,Bassetts Murray Mints 193g,7622210464477,Bassetts,Mint,193 g,Bag,1,,,,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/thumbs/sku_0003.jpg,ONBOARDED
sku_0004,MAYNARDS BASSETTS SHERBET LEMONS 192G,5023274043189,Bassetts,Lemon,192 g,Bag,1,,,,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/thumbs/sku_0004.jpg,ONBOARDED
sku_0005,BEL 540G HONEY NUT 5CA,7622202019135,Belvita,Honey & Nut,540 g,Box,1,,,,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/thumbs/sku_0005.jpg,ONBOARDED
sku_0006,Belvita Breakfast 5 Pack Honey & Nuts 225g,7622202019265,Belvita,Honey & Nuts,225 g,Box,1,,,,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/thumbs/sku_0006.jpg,ONBOARDED
sku_0007,BELVITA BREAKFAST COCOA CHOC CHIP  225G 7658910,7622210740427,Belvita,Cocoa,225 g,Box,1,,,,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/thumbs/sku_0007.jpg,ONBOARDED
sku_0008,Belvita Choc Chip Reduced Sugar 225g,7622210689382,Belvita,"Chocolate Chips, Less Sugar",225 g,Box,1,,,,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/thumbs/sku_0008.jpg,ONBOARDED
sku_0009,BELVITA COOKIES HONEY & NUT 50G 8201053,7622202019166,Belvita,Honey & Nut,50 g,Bag,1,,,,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/thumbs/sku_0009.jpg,ONBOARDED
sku_0010,Belvita Cookies Milk & Cereal 225g,7622202018701,Belvita,Milk & Cereal,225 g,Box,1,,,,https://storage.googleapis.com/zia-web-public/jobs/ai-engineer-june-2026/thumbs/sku_0010.jpg,ONBOARDED
